observation_start_date,observation_end_date,county_name,cbsa_name,cbsa_type,area_id,cbsa_id,inflow,outflow,income_diff,lat,lon
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086015700,33100,0,47,,25.708876315985222,-80.3921212705016
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086015800,33100,0,54,,25.722183905608141,-80.403365281699678
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086006707,33100,23,94,-65016.0,25.76172211954826,-80.182114796399446
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086011001,33100,78,91,25103.8,25.478329734399377,-80.45502228214842
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086018900,33100,26,102,-27620.8,25.66380928947812,-80.407968125832824
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086019700,33100,11,0,16811.0,25.617662275113432,-80.45486010386054
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086007300,33100,25,15,-96918.1,25.716918320592256,-80.249395966952264
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086009309,33100,186,87,15868.0,25.880689444479305,-80.315438068094849
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086017400,33100,0,42,,25.692666593369516,-80.422832222451973
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086006714,33100,48,44,25072.0,25.758574015926492,-80.190815400048379
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086010900,33100,63,0,18650.3,25.496954176291318,-80.4396605217948
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086005002,33100,21,47,-2993.0,25.782164999334011,-80.2481029450703
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086013100,33100,14,33,12956.0,25.894818930026958,-80.345726740118664
